pathway,q1_padj,q1_NES,sil_padj,sil_p,k,K
HALLMARK_INFLAMMATORY_RESPONSE,6.01729043257694e-10,-2.20995181157552,1,0.999934304263221,31,185
HALLMARK_COMPLEMENT,3.43082812802447e-06,-1.98072880218265,1,0.59385647985339,50,179
HALLMARK_ALLOGRAFT_REJECTION,9.61272475308445e-06,-1.97830526114208,1,0.99999064000122,26,173
HALLMARK_INTERFERON_GAMMA_RESPONSE,1.06253137983586e-05,-1.93089395499383,1,0.999184204479465,34,182
HALLMARK_TNFA_SIGNALING_VIA_NFKB,3.978472160956e-05,-1.84531952347204,1,0.991453847776515,40,189
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00141272332025028,-1.82629260173212,1,0.995618177032046,15,88
KEGG_HEMATOPOIETIC_CELL_LINEAGE,0.00290829669224729,-1.84750235133055,1,0.58091224636231,21,75
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.247619047619048,-1.40061894035656,1,0.958275588653663,16,78
